EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,NICAR_RULEYEAR,NICAR_RULEMON,NICAR_TAXYEAR,NICAR_TAXMONTH
2022084,ST ROSALIAS ROMAN CATHOLIC CHURCH,,1230 65TH ST,BROOKLYN,NY,11219-5614,928,3,9,1270,194603,1,10,1000000,5,1,,0,0,6,0,12,0,0,0,,,1946,3,,
2030711,CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,,569 BROADWAY,NEWARK,NJ,07104-4132,0,3,3,7000,197912,1,10,1000000,1,1,,0,0,6,0,12,0,0,0,,,1979,12,,
2045409,GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE,,3210 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127-1229,1678,3,9,7000,196408,1,10,29002000,5,1,,0,0,6,0,8,0,0,0,,,1964,8,,
7764840,TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,,PO BOX 102,DEERFIELD ST,NJ,08313-0102,0,3,3,7100,200308,1,10,0,1,1,,0,0,6,0,12,0,0,0,X21,,2003,8,,
10002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,% JOANNE SOUSA,PO BOX 126,HULLS COVE,ME,04644-0126,0,3,3,1000,200007,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,A80,,2000,7,2014,12
10011694,MASSACHUSETTS MODERATORS ASSOCIATION,% MICHAEL P MILLER,5 SPY ROCK HILL RD,MANCHESTER,MA,01944-1514,0,3,3,1000,201505,1,16,995408229,1,1,201412,0,0,2,0,12,0,0,0,S19,,2015,5,2014,12
10015091,HANOVER SOCCER CLUB INC,,PO BOX 13,CEDAR KNOLLS,NJ,07927-0013,0,3,3,1000,201210,1,16,0,1,1,201412,3,4,1,0,12,72859,121129,121129,N64,,2012,10,2014,12
10017496,AGAMENTICUS YACHT CLUB OF YORK,,PO BOX 534,YORK HARBOR,ME,03911-0534,0,3,3,2000,199303,1,15,149000000,1,1,201412,4,4,1,0,12,236791,192304,116010,,,1993,3,2014,12
10018555,ALPHA TAU OMEGA FRATERNITY,,81 COLLEGE AVE,ORONO,ME,04473-4210,287,7,9,1000,194101,2,0,36000000,5,1,201412,0,0,2,0,12,0,0,0,,BETA UPSILION MAINE-ORONO,1941,1,2014,12
10018605,AMALGAMATED TRANSIT UNION,% BRENDON BURKE,PO BOX 979,PORTLAND,ME,04104-0979,155,5,9,3000,194010,2,0,263000000,5,1,201412,2,3,1,0,12,13146,65972,65972,,714 LOCAL,1940,10,2014,12
10018922,AMERICAN LEGION AUXILIARY,,886B KENNEDY MEMORIAL DR,OAKLAND,ME,04963-4825,964,19,9,1000,194610,1,0,319000000,5,1,201505,4,4,1,0,5,230245,261954,261954,,178 DANIEL E LAMBERT MEMORIAL,1946,10,2015,5
10018923,AMERICAN LEGION POST 0019 THOMAS W COLE POST,,PO BOX 801,SANFORD,ME,04073-0801,925,19,9,1000,194603,1,0,907908000,1,1,201405,4,4,1,0,5,223863,175955,75992,,,1946,3,2014,5
10018927,AMERICAN LEGION POST 0005 BOURQUE LANIGAN,,21 COLLEGE AVE,WATERVILLE,ME,04901-6141,925,19,9,1000,194603,1,0,907908000,1,1,201412,5,5,1,0,12,644359,716053,147236,,,1946,3,2014,12
10018930,AMERICAN LEGION,% TOM ADKINS TREAS,5 VERTI DR,WINSLOW,ME,04901-0727,925,19,9,1000,194603,1,0,907908000,5,1,201504,5,5,1,0,4,941168,768187,768187,,22 DEPT OF MAINE,1946,3,2015,4
10019705,ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE,,PO BOX 430,HOLDEN,ME,04429-0430,275,10,6,1000,194101,1,0,260279000,5,1,201503,6,4,1,0,3,1704310,374388,354447,,,1941,1,2015,3
10019708,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% LAWRENCE PRINGLE,20 GABRADAK LN,CHELSEA,ME,04330-1377,275,10,9,1000,194101,1,0,36000000,5,1,201412,0,0,2,0,12,0,0,0,,35 BETHLEHEM LODGE,1941,1,2014,12
10021545,MAINE STATE CHAMBER OF COMMERCE,,125 COMMUNITY DR STE 101,AUGUSTA,ME,04330-8157,0,6,3,1000,192110,2,0,205000000,1,1,201506,5,6,1,0,6,658550,1634260,1589312,,,1921,10,2015,6
10022320,AUGUSTA COUNTRY CLUB,,19 HAMMONS GROVE,MANCHESTER,ME,04351-0000,0,7,3,1000,192908,2,0,280000000,1,1,201412,6,6,1,0,12,1106017,1568989,1357818,,,1929,8,2014,12
10022415,KENNEBEC VALLEY CHAMBER OF COMMERCE,,PO BOX 676,AUGUSTA,ME,04332-0676,0,6,3,3000,194508,2,0,200402403,1,1,201412,4,4,1,0,12,264414,490930,479373,,,1945,8,2014,12
10024155,BANGOR BAND,% BANGOR PARKS & RECREATION,647 MAIN ST,BANGOR,ME,04401-6871,0,3,3,1000,198407,1,15,90000000,5,1,201509,0,0,2,0,9,0,0,0,,,1984,7,2015,9
10024245,BANGOR REGION CHAMBER OF COMMERCE,,20 SOUTH ST,BANGOR,ME,04401-6444,0,6,3,3000,194501,2,0,403279000,1,1,201412,4,5,1,0,12,160830,644293,633965,,,1945,1,2014,12
10024455,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,108 ODLIN RD,BANGOR,ME,04401-6704,1156,8,9,1000,197210,1,0,279265000,5,1,201503,5,6,1,0,3,937679,1595503,394801,,244 BANGOR,1972,10,2015,3
10024645,BANGOR SYMPHONY ORCHESTRA,% DAVID,PO BOX 1441,BANGOR,ME,04402-1441,0,3,3,1200,196806,1,15,119059000,1,1,201406,6,6,1,0,6,1821821,1683431,1016119,A69Z,,1968,6,2014,6
10024907,BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION,% S F GOLDTHWAIT JR,PO BOX 52,BAR HARBOR,ME,04609-0052,0,3,3,1000,199603,1,3,402404000,1,1,201507,5,4,0,1,7,715425,113945,0,S20Z,,1996,3,2015,7
10027415,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% MALCOLM GATER,1 TUFTS RD,BELFAST,ME,04915-7513,275,10,9,1000,0,0,0,0,0,1,201503,0,0,2,0,3,0,0,0,,24 BELFAST LODGE,0,0,2015,3
10027741,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 2206,AUGUSTA,ME,04338-2206,1156,8,9,1000,195110,1,0,279265000,5,1,201503,5,6,1,0,3,671416,1863203,333346,,964 AUGUSTA,1951,10,2015,3
10027746,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,86 MAIN ST,HOULTON,ME,04730-2121,1156,8,9,1000,195110,1,0,279265000,5,1,201503,4,4,1,0,3,314803,471077,166361,,835 HOULTON,1951,10,2015,3
10027747,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,1675 LISBON ST,LEWISTON,ME,04240-3520,1156,8,9,1000,195110,1,0,279265000,5,1,201403,5,4,1,0,3,627826,408457,98540,,LEWISTON LODGE 371,1951,10,2014,3
10027748,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,1945 CONGRESS ST,PORTLAND,ME,04102-1903,1156,8,9,1000,195110,1,0,279265000,5,1,201503,4,5,1,0,3,316382,621787,154392,,0188 PORTLAND,1951,10,2015,3
10027751,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 983,ROCKLAND,ME,04841-0983,1156,8,9,1000,195110,1,0,279265000,5,1,201503,6,6,1,0,3,1038138,1739115,307199,,1008 ROCKLAND,1951,10,2015,3
10028980,BETA THETA PI FRATERNITY,% ACCESSIBLE ACCOUNTANT,12 MUNSON ROAD,ORONO,ME,04469-0001,315,7,9,1000,196710,2,0,319036000,5,1,201406,1,4,1,0,6,2579,255776,255776,,161 BETA ETA CHAPTER,1967,10,2014,6
10029480,BIDDEFORD SACO CHAMBER OF COMMERCE INC,,28 WATER ST STE 1,BIDDEFORD,ME,04005-5604,0,6,3,1000,194511,2,0,200000000,1,1,201412,3,4,1,0,12,65088,186555,171855,,,1945,11,2014,12
10032215,BOOTHBAY HARBOR YACHT CLUB,,PO BOX 497,W BOOTHBY HBR,ME,04575-0497,0,7,3,1000,196808,2,0,280318319,1,1,201411,6,5,1,0,11,1876549,928235,925109,,,1968,8,2014,11
10039552,CAMDEN YACHT CLUB,,PO BOX 204,CAMDEN,ME,04843-0204,0,7,3,1000,196710,2,0,319317000,1,1,201412,5,4,1,0,12,515661,466289,437965,,,1967,10,2014,12
10043280,PORTLAND REGIONAL CHAMBER,,443 CONGRESS STREET,PORTLAND,ME,04101-3531,0,6,3,3000,195201,2,0,200403279,1,1,201506,6,6,1,0,6,1004918,1400417,1124483,,,1952,1,2015,6
10043285,ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE,,PO BOX 59,LEWISTON,ME,04243-0059,0,6,3,3000,194102,2,0,200403279,1,1,201412,5,5,1,0,12,906399,719857,692003,,,1941,2,2014,12
10043788,COMMUNITY CHRISTMAS PROJECT INC,% EARL DEAN,PO BOX 581,PITTSFIELD,ME,04967-0581,0,3,3,1000,199612,1,15,994560000,1,1,201210,0,0,2,0,10,0,0,0,P20,,1996,12,2012,10
10044660,CHRISTIAN CIVIC LEAGUE OF MAINE INC,,70 SEWALL ST,AUGUSTA,ME,04330-6333,0,4,3,1000,194310,2,0,59029000,1,1,201412,1,4,1,0,12,3079,238826,238826,X20Z,,1943,10,2014,12
10052240,CUMBERLAND BAR ASSOCIATION,% PETRUCCELLI MARTIN & HADDOW LLP,PO BOX 434,FREEPORT,ME,04032-0434,0,6,3,2000,193408,2,0,61205040,1,1,201412,0,0,2,0,12,0,0,0,,CLEAVES LAW LIBRARY,1934,8,2014,12
10052260,CUMBERLAND CLUB,,116 HIGH ST,PORTLAND,ME,04101-3815,0,7,3,1000,194206,2,0,319916000,1,1,201412,6,6,1,0,12,1275262,1082714,475477,N50,,1942,6,2014,12
10055140,HALLOWELL CENTENNIAL BURIAL GROUND ASSN INC,,10 LITCHFIELD RD,HALLOWELL,ME,04347-1109,0,13,3,1000,197603,0,0,0,5,1,201506,4,3,2,0,6,481405,31885,31876,,,1976,3,2015,6
10056642,DEMERRITT CEMETERY ASSOC,% VERA PARENT,PO BOX 78,PERU,ME,04290-0078,0,13,3,2000,194710,1,0,900000000,1,1,201412,0,0,2,0,12,0,0,0,,,1947,10,2014,12
10056837,EASTERN MAINE ELECTRIC COOPERATIVE INC,% SCOTT HALLOWELL CONTROLLER,PO BOX 425,CALAIS,ME,04619-0425,0,12,3,1000,196406,2,0,279000000,3,1,201412,8,8,1,0,12,39234376,15089966,15089966,,,1964,6,2014,12
10056995,NATIONAL KITCHEN & BATH ASSO,% GAIL KRUSEC,8 LIGHTHOUSE POINT RD,CAPE ELIZ,ME,04107-9525,3379,6,9,2000,199407,2,0,200000000,5,1,201512,0,0,2,0,12,0,0,0,,MAINE CHAPTER,1994,7,2015,12
10061300,FRATERNAL ORDER OF EAGLES,,164 WATER ST,SKOWHEGAN,ME,04976-1735,102,8,9,1000,199108,2,0,260000000,5,1,201405,4,4,1,0,5,119935,445325,75673,,1457 AERIE,1991,8,2014,5
10061310,FRATERNAL ORDER OF EAGLES,% DENVER BROWN,184 SAINT JOHN ST,PORTLAND,ME,04102-3021,102,8,9,1000,199108,2,0,260000000,5,1,201505,5,6,1,0,5,911655,3108591,3087694,,565 AERIE,1991,8,2015,5
10063057,FRATERNAL ORDER OF EAGLES,,57 BIRCH ST,BIDDEFORD,ME,04005-3311,102,8,9,1000,199108,2,0,260000000,5,1,201505,5,5,1,0,5,653371,637404,637404,,804 AERIE,1991,8,2015,5
10063430,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,76 INDUSTRIAL ST,WATERVILLE,ME,04901-5774,1156,8,9,1000,195110,1,0,279265000,5,1,201503,6,6,1,0,3,1155087,1584816,350633,,905 WATERVILLE,1951,10,2015,3
10063783,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% ELLSWORTH LIONS CLUB,PO BOX 627,ELLSWORTH,ME,04605-0627,239,4,9,3000,194012,2,0,602911000,5,1,201506,0,0,2,0,6,0,0,0,,13678 ELLSWORTH,1940,12,2015,6
10067817,INDEPENDENT ORDER OF ODD FELLOWS,% MARTIN LEEMAN,PO BOX 136,NEW HARBOR,ME,04554-0136,28,8,9,1000,197211,1,0,36382265,5,1,201406,0,0,2,0,6,0,0,0,,53 MARINERS LDG,1972,11,2014,6
10072838,FRATERNAL ORDER OF EAGLES,,1327 SABATTUS RD,LEWISTON,ME,04240-2115,102,8,9,1000,199108,2,0,260000000,5,1,201505,4,6,1,0,5,206226,1373382,223592,,618 AERIE,1991,8,2015,5
10079380,CPORT CREDIT UNION,% EUGENE ARDITO,50 RIVERSIDE INDUSTRIAL PKWY,PORTLAND,ME,04103-1426,2048,14,9,1000,196911,2,0,921922000,5,1,201412,9,7,1,0,12,161635033,7571429,7568371,,,1969,11,2014,12
10083190,GREENWOOD CEMETERY ASSOCIATION,,PO BOX 1323,BIDDEFORD,ME,04005-1323,0,13,3,2000,197502,2,0,900000000,1,1,201503,6,4,1,0,3,1283918,146499,87724,,,1975,2,2015,3
10086202,HARBOR CLUB INC,% THERESA MERCHANT,PO BOX 884,MOUNT DESERT,ME,04660-0884,0,7,3,1000,194702,2,0,318000000,1,1,201410,6,5,1,0,10,1612883,701281,701281,,,1947,2,2014,10
10092600,HOPE CEMETERY CORPORATION,% THOMAS F DOBENS,PO BOX 211,KENNEBUNK,ME,04043-0211,0,13,3,2000,195209,1,0,900000000,1,1,201503,5,4,1,0,3,637571,236614,145830,,,1952,9,2015,3
10095329,IMPROVED ORDER OF REDMEN OF MAINE,,44 THOMAS RD,STANDISH,ME,04084-5459,280,10,6,1000,194101,1,0,279265000,5,1,201412,4,2,2,0,12,387305,17401,17401,,GREAT COUNCIL,1941,1,2014,12
10095413,INDEPENDENT ORDER OF ODD FELLOWS,% MICHAEL ANDERSON,80 CARON LN,AUBURN,ME,04210-4289,28,8,9,1000,196205,1,0,36000000,5,1,201506,0,0,2,0,6,0,0,0,,MAINE GRAND ENCAMPMENT,1962,5,2015,6
10095414,INDEPENDENT ORDER OF ODD FELLOWS,% MICHAEL G ANDERSON,80 CARON LN,AUBURN,ME,04210-4289,28,8,9,1000,196205,1,0,36382265,5,1,201506,6,6,1,0,6,4263845,3409228,483776,,MAINE GRAND LODGE,1962,5,2015,6
10095497,INDEPENDENT ORDER OF ODD FELLOWS,% DON DISMORE,54 MOUNT EPHRAIM RD,SEARSPORT,ME,04974-3397,28,8,9,1000,197211,1,0,36382265,5,1,201406,0,0,2,0,6,0,0,0,,82 SEARS LODGE,1972,11,2014,6
10095705,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,,PO BOX 1289,LEWISTON,ME,04243-1289,64,5,9,3000,194008,2,0,263264279,5,1,201412,4,4,1,0,12,154170,484666,484666,,0567 LOCAL UNION,1940,8,2014,12
10095740,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,,144 THADEUS ST,S PORTLAND,ME,04106-6239,320,5,9,3000,194102,2,0,911000000,5,1,201412,4,6,1,0,12,234101,2236063,2234421,,340 TCWH,1941,2,2014,12
10095770,UNITED STEELWORKERS,% ERIC ALBERT,PO BOX 1320,BUCKSPORT,ME,04416-1320,260,5,9,3000,194012,2,0,263059269,5,1,201412,4,4,1,0,12,132563,144880,144880,,01188 LOCAL,1940,12,2014,12
10096117,ISLAND COUNTRY CLUB,,442 SUNSET RD,DEER ISLE,ME,04627-3869,0,7,3,1000,200002,2,0,0,1,1,201412,5,4,1,0,12,662720,487967,350083,N50,,2000,2,2014,12
10096152,ISLAND HOME CLUB,% J COSSEBOOM,156 MEADOW LN,NEW GLOUCESTR,ME,04260-3630,0,7,3,1000,199807,2,0,319000000,1,1,201412,3,4,1,0,12,85469,134424,134424,,,1998,7,2014,12
10100593,KENNEBUNK RIVER CLUB,,PO BOX 994,KENNEBUNKPORT,ME,04046-0994,0,7,3,1000,196007,2,0,318319317,1,1,201412,6,5,1,0,12,3996263,702961,702961,,,1960,7,2014,12
10102346,KNIGHTS OF PYTHIAS OF MAINE GRAND LODGE,% HARRY SPENCER,21 OAK HILL RD,OTIS,ME,04605-6831,12,8,6,1000,194006,1,0,279000000,5,1,201412,0,0,2,0,12,0,0,0,,,1940,6,2014,12
10104905,LAUREL HILL CEMETERY ASSOCIATION,,293 BEACH ST,SACO,ME,04072-2935,0,13,3,1000,199010,1,0,900000000,5,1,201511,7,6,1,0,11,9806842,2375946,507249,,,1990,10,2015,11
10112977,ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ,,PO BOX 303,BOWDOINHAM,ME,04008-0303,259,10,9,1000,194012,1,0,279265319,5,1,201507,6,4,1,0,7,3853522,410974,215542,,VALLEY OF PORTLAND CONSISTORY,1940,12,2015,7
10113840,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS,,21 GABRIEL DR,AUGUSTA,ME,04330-7852,1338,5,9,3000,195605,2,0,263264480,5,1,201412,4,5,1,0,12,266724,881669,873314,,AFL-CIO MAINE STATE,1956,5,2014,12
10114035,MAINE EDUCATION ASSOCIATION,,35 COMMUNITY DR,AUGUSTA,ME,04330-8005,0,5,3,3000,197604,2,0,261263033,1,1,201508,6,7,1,0,8,3510564,8450988,8354573,,,1976,4,2015,8
10114110,MAINE WATER UTILITIES ASSOCIATION,,150 CAPITOL ST STE 5,AUGUSTA,ME,04330-6858,0,6,0,1000,0,0,0,0,1,1,201509,4,4,1,0,9,129260,380589,380589,,,0,0,2015,9
10114140,MAINE WOMANS CHRISTIAN TEMPERANCE,% REGINALD A PETERS,714 CONGRESS ST,PORTLAND,ME,04102-3306,0,4,2,1000,192911,2,0,59328029,1,1,201508,4,1,2,0,8,250965,7327,700,,,1929,11,2015,8
10114721,MECHANIC FALLS MAPLE GROVE CEMETERY INC,% LUCILLE R HODSDON,67 ROBERTS RD,NORWAY,ME,04268-5328,0,13,3,1000,194105,1,0,900000000,1,1,201412,0,0,2,0,12,0,0,0,,,1941,5,2014,12
10116360,WATERVILLE MASONIC ASSOCIATION,% JOSHUA A WARD,20 ED LN,BENTON,ME,04901-2915,0,2,3,1000,198002,2,0,912260000,1,1,201510,0,0,2,0,10,0,0,0,,,1980,2,2015,10
10116380,MASONIC TRUSTEES OF PORTLAND,% MARLON E WELCH,415 CONGRESS STREET,PORTLAND,ME,04101-3500,0,2,3,1000,201409,2,0,399000000,1,1,201412,6,4,1,0,12,1241340,118192,118192,S47,,2014,9,2014,12
10116390,SHRINERS INTERNATIONAL,% KORA SHRINERS,11 SABATTUS ST,LEWISTON,ME,04240-7038,229,10,9,1000,194011,1,0,36000000,5,1,201412,6,6,1,0,12,1587960,1170415,529985,,KORA SHRINERS,1940,11,2014,12
10119375,MEGANTIC FISH & GAME CORP,% TREASURER,6 FUNDY CIRCLE,FALMOUTH,ME,04105-1779,0,7,3,1000,194408,2,0,350281318,1,1,201410,6,5,1,0,10,3728073,728473,728473,N61Z,,1944,8,2014,10
10119385,MEGUNTICOOK GOLF CLUB,,PO BOX 806,ROCKPORT,ME,04856-0806,0,7,3,1000,196711,2,0,280318319,1,1,201410,6,5,1,0,10,1200943,627400,627050,,,1967,11,2014,10
10124810,MT HOPE CEMETERY CORP,,PO BOX 663,BANGOR,ME,04402-0663,0,13,3,2000,193410,1,0,900901000,1,1,201412,8,6,1,0,12,10382360,2050154,965297,,,1934,10,2014,12
10124841,MT PLEASANT CEMETERY CORP,,PO BOX 2383,S PORTLAND,ME,04116-2383,0,13,3,2000,197301,1,0,900000000,1,1,201412,5,3,1,0,12,987159,67548,67548,,,1973,1,2014,12
10127336,NEW AUBURN SOCIAL CLUB INC,,7 SECOND ST,AUBURN,ME,04210-6847,0,7,3,1000,195111,2,0,319000000,1,1,201412,4,4,1,0,12,389361,366146,206745,,,1951,11,2014,12
10129660,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,7 LAMBARD STREET,BATH,ME,04530-0000,1156,8,9,1000,195110,1,0,279265000,5,1,201503,4,4,1,0,3,227114,414433,325060,,934 BATH,1951,10,2015,3
10130065,NORTH AUBURN CEMETERY ASSOCIATION INC,% TERRY LEBEL,625 N AUBURN RD,AUBURN,ME,04210-8716,0,13,3,2000,198310,1,0,900901000,1,1,201504,0,0,2,0,4,0,0,0,,,1983,10,2015,4
10130185,NORTH HAVEN CASINO,,PO BOX 337,NORTH HAVEN,ME,04853-0337,0,4,3,1000,198105,2,0,297429000,1,1,201412,5,4,1,0,12,702119,239037,239037,,,1981,5,2014,12
10130335,NORTHEAST HARBOR TENNIS CLUB,% JAN HALL,48 BUTLER RD,MOUNT DESERT,ME,04660-6621,0,7,3,1000,196412,2,0,318000000,1,1,201509,6,5,1,0,9,1632715,606160,487755,,,1964,12,2015,9
10130427,BRIDGTON HOSPITAL,% PHIL MORISSETTE,10 HOSPITAL DR,BRIDGTON,ME,04009-1148,0,3,3,1000,195002,1,12,150000000,1,1,201406,9,9,1,0,6,55845412,57755717,54444259,E220,,1950,2,2014,6
10131335,OAK GROVE CEMETERY ASSO,,128 COBBOSSEE AVE,GARDINER,ME,04345-9050,0,13,3,2000,194203,1,0,900000000,5,1,201412,6,5,1,0,12,1463414,738778,108858,,,1942,3,2014,12
10131390,OAKDALE COUNTRY CLUB,% RICHARD MCKENNA,13 COUNTRY CLUB RD,MEXICO,ME,04257-1867,0,4,3,2000,200002,2,0,0,1,1,201412,4,4,1,0,12,286899,208958,174439,N31,,2000,2,2014,12
10131770,ODD FELLOWS HALL CO OF DEERING OF IOOF 6,,651 FOREST AVE,PORTLAND,ME,04101-1525,0,2,3,1000,194506,2,0,399000000,1,1,201412,5,4,1,0,12,879648,126085,72173,,,1945,6,2014,12
10131950,PLANT MEMORIAL HOME,,1 WASHINGTON ST,BATH,ME,04530-1634,0,3,3,1000,197202,1,2,382000000,1,1,201412,6,6,0,1,12,3961425,1061047,0,,,1972,2,2014,12
10132580,OQUOSSOC ANGLING ASSOC,% ROBERT LE ROY,59 MARTIN RD,CONCORD,MA,01742-1805,0,7,3,1000,194507,2,0,317350000,1,1,201412,6,4,1,0,12,1134046,264043,264043,,,1945,7,2014,12
10132610,ORCHARD GROVE CEMETERY ASSOCIATION,,167 ROGERS RD,KITTERY,ME,03904-1449,0,13,3,1000,194808,1,0,900901000,5,1,201412,5,3,2,0,12,719938,26933,26933,Y52Z,,1948,8,2014,12
10132625,ORDER OF THE EASTERN STAR OF MAINE,% RHEANNE FROST,PO BOX 459,PERU,ME,04290-0459,302,8,6,1000,194101,1,0,36279319,5,1,201503,6,4,1,0,3,2734196,252347,252347,,GRAND CHAPTER OF MAINE,1941,1,2015,3
10133155,AMERICAN LEGION,% TRICIA THURSTON,184 CONGRESS ST,RUMFORD,ME,04276-2034,964,19,9,1000,194610,2,0,319907000,5,1,201504,1,4,2,0,4,8889,126594,0,W30Z,24 NAPOLEON OUELLETTE POST,1946,10,2015,4
10133442,OXFORD COUNTY AGRICULTURAL SOCIETY,,PO BOX 193,NORWAY,ME,04268-0193,0,3,3,1000,199508,1,15,995065000,1,1,201412,5,4,1,0,12,908993,367180,367180,Z99,,1995,8,2014,12
10135937,LE PASSE-TEMPS INC,,45 CEDAR ST,LEWISTON,ME,04240-7803,0,7,3,1000,198103,2,0,318319000,5,1,201412,4,4,1,0,12,441982,356512,248949,,,1981,3,2014,12
10140283,PINE GROVE CEMETERY ASSOCIATION,% JAYNE PALMER,300 FRONT ST,BATH,ME,04530-2651,0,13,3,1000,200809,1,0,900000000,1,1,201412,0,0,2,0,12,0,0,0,Y50,,2008,9,2014,12
10140290,PINE GROVE CEMETERY CORP,% SBAS,PO BOX 2147,S PORTLAND,ME,04116-2147,0,13,3,2000,197104,1,0,900000000,1,1,201412,6,4,1,0,12,1772258,437836,153172,,,1971,4,2014,12
10142655,KNIGHTS OF COLUMBUS,% RAYMOND JOS DIDONATO SR,29 EDWARDS ST,PORTLAND,ME,04102-2533,188,8,9,1000,194010,1,0,36029265,5,1,201412,0,0,2,0,12,0,0,0,,101 PORTLAND COUNCIL,1940,10,2014,12
10142660,PORTLAND COUNTRY CLUB,,11 FORESIDE RD,FALMOUTH,ME,04105-1730,0,7,3,1000,193409,2,0,280000000,1,1,201503,7,7,1,0,3,9803605,5370941,3453081,,,1934,9,2015,3
10143485,PORTLAND YACHT CLUB,,40 OLD POWERHOUSE RD,FALMOUTH,ME,04105-1616,0,7,3,1000,196702,2,0,317000000,1,1,201410,6,5,1,0,10,1320847,966357,960769,,,1967,2,2014,10
